"region_id";"country_id";"city_id";"name"
"4312";"3159";"0";"Москва и Московская обл."
"4925";"3159";"0";"Санкт-Петербург и область"
"1998532";"3159";"0";"Адыгея"
"3160";"3159";"0";"Алтайский край"
"3223";"3159";"0";"Амурская обл."
"3251";"3159";"0";"Архангельская обл."
"3282";"3159";"0";"Астраханская обл."
"3296";"3159";"0";"Башкортостан (Башкирия)"
"3352";"3159";"0";"Белгородская обл."
"3371";"3159";"0";"Брянская обл."
"3407";"3159";"0";"Бурятия"
"3437";"3159";"0";"Владимирская обл."
"3468";"3159";"0";"Волгоградская обл."
"3503";"3159";"0";"Вологодская обл."
"3529";"3159";"0";"Воронежская обл."
"3630";"3159";"0";"Дагестан"
"3673";"3159";"0";"Еврейская обл."
"3675";"3159";"0";"Ивановская обл."
"3703";"3159";"0";"Иркутская обл."
"3751";"3159";"0";"Кабардино-Балкария"
"3761";"3159";"0";"Калининградская обл."
"3827";"3159";"0";"Калмыкия"
"3841";"3159";"0";"Калужская обл."
"3872";"3159";"0";"Камчатская обл."
"3892";"3159";"0";"Карелия"
"3921";"3159";"0";"Кемеровская обл."
"3952";"3159";"0";"Кировская обл."
"3994";"3159";"0";"Коми"
"4026";"3159";"0";"Костромская обл."
"4052";"3159";"0";"Краснодарский край"
"4105";"3159";"0";"Красноярский край"
"4176";"3159";"0";"Курганская обл."
"4198";"3159";"0";"Курская обл."
"4227";"3159";"0";"Липецкая обл."
"4243";"3159";"0";"Магаданская обл."
"4270";"3159";"0";"Марий Эл"
"4287";"3159";"0";"Мордовия"
"4481";"3159";"0";"Мурманская обл."
"3563";"3159";"0";"Нижегородская (Горьковская)"
"4503";"3159";"0";"Новгородская обл."
"4528";"3159";"0";"Новосибирская обл."
"4561";"3159";"0";"Омская обл."
"4593";"3159";"0";"Оренбургская обл."
"4633";"3159";"0";"Орловская обл."
"4657";"3159";"0";"Пензенская обл."
"4689";"3159";"0";"Пермская обл."
"4734";"3159";"0";"Приморский край"
"4773";"3159";"0";"Псковская обл."
"4800";"3159";"0";"Ростовская обл."
"4861";"3159";"0";"Рязанская обл."
"4891";"3159";"0";"Самарская обл."
"4969";"3159";"0";"Саратовская обл."
"5011";"3159";"0";"Саха (Якутия)"
"5052";"3159";"0";"Сахалин"
"5080";"3159";"0";"Свердловская обл."
"5151";"3159";"0";"Северная Осетия"
"5161";"3159";"0";"Смоленская обл."
"5191";"3159";"0";"Ставропольский край"
"5225";"3159";"0";"Тамбовская обл."
"5246";"3159";"0";"Татарстан"
