"18031";"Azaz,Аазаз,Азаз";"Аазаз"
"814";"Ааршот,Арсхот";"Ааршот"
"14633";"Аба";"Аба"
"11340";"Ābādān,Абадан";"Абадан"
"11339";"Абаде";"Абаде"
"17484";"Абаза";"Абаза"
"13085";"Абай";"Абай"
"17485";"Абакан";"Абакан"
"15141";"Абанкай";"Абанкай"
"11915";"Абано-Терме";"Абано-Терме"
"12690";"Абасири";"Абасири"
"14146";"Абасоло";"Абасоло"
"2147";"Абаэте";"Абаэте"
"11914";"Аббиатеграссо";"Аббиатеграссо"
"2265";"Абботсфорд";"Абботсфорд"
"15892";"Абботтабад";"Абботтабад"
"6940";"Абвиль";"Абвиль"
"17302";"Абдулино";"Абдулино"
"2695";"Абенгуру";"Абенгуру"
"14631";"Абеокута";"Абеокута"
"7656";"Абергеле";"Абергеле"
"22308";"Абердин";"Абердин"
"21559";"Абердин";"Абердин"
"19863";"Абердин";"Абердин"
"7657";"Абердин";"Абердин"
"7658";"Абердэйр,Абердэр";"Абердэйр"
"7655";"Аберистуит";"Аберистуит"
"18061";"Абеше";"Абеше"
"2694";"Абиджан";"Абиджан"
"20267";"Абилин";"Абилин"
"7654";"Абингдон";"Абингдон"
"20808";"Абингтон";"Абингтон"
"17301";"Абинск";"Абинск"
"17618";"Абкайк";"Абкайк"
"102";"Абовян";"Абовян"
"2692";"Абоисо,Абуассо";"Абоисо"
"950";"Абомей";"Абомей"
"949";"Абомей-Калави";"Абомей-Калави"
"1267";"Абреу-и-Лима";"Абреу-и-Лима"
"11010";"Mount Abu,Абу";"Абу"
"11165";"Abu Ghraib,Абу-Грейб";"Абу-Грейб"
"15";"Абу-Даби";"Абу-Даби"
"14630";"Абуджа";"Абуджа"
"14414";"Абуджа";"Абуджа"
"18053";"Абу-Камаль";"Абу-Камаль"
"17652";"Abhā,Абха";"Абха"
"11337";"Абхар";"Абхар"
"10876";"Avadi,Авади";"Авади"
"2698";"Аваруа";"Аваруа"
"6239";"Awasa,Авасе";"Авасе"
"16021";"Августов";"Августов"
"19302";"Avdeyevka,Авдеевка";"Авдеевка"
"16394";"Авейру";"Авейру"
"11883";"Авеллино";"Авеллино"
"11882";"Аверса";"Аверса"
"11881";"Авеццано";"Авеццано"
"6144";"Авила";"Авила"
"6143";"Авилес";"Авилес"
"6901";"Авиньон";"Авиньон"
"14612";"Авка";"Авка"
"22079";"Аврора,Орора";"Аврора"
"21416";"Аврора";"Аврора"
"20630";"Аврора";"Аврора"
"17270";"Автуры";"Автуры"
"14392";"Агадес";"Агадес"
"13330";"Агадир";"Агадир"
"10999";"Агар-агар";"Агар-агар"
"10998";"Агартала";"Агартала"
"2689";"Агбовиле,Агбовиль";"Агбовиле"
"14626";"Агбор";"Агбор"
"6938";"Агд";"Агд"
"468";"Агдам";"Агдам"
"506";"Агдаш";"Агдаш"
"507";"Ağcabǝdi,Агджабеди";"Агджабеди"
"16740";"Agidel,Агидель";"Агидель"
"5914";"Агилас";"Агилас"
"17553";"Агинское";"Агинское"
"6703";"Агно";"Агно"
"10997";"Агра";"Агра"
"11448";"Агридженто";"Агридженто"
"7899";"Agrinio,Агринион";"Агринион"
"18560";"Агры";"Агры"
"17297";"Агрыз";"Агрыз"
"16226";"Агуадилья";"Агуадилья"
"14142";"Aguascalientes City,Агуаскальентес";"Агуаскальентес"
"3872";"Агуачика";"Агуачика"
"5913";"Агуимес";"Агуимес"
"3877";"Agustin Codazzi,Агустин-Кодасси";"Агустин-Кодасси"
"16225";"Adams Town,Адамстаун";"Адамстаун"
"18677";"Адана";"Адана"
"18822";"Адапазары,Сакарья";"Адапазары"
"6250";"Аддис-Абеба";"Аддис-Абеба"
"382";"Аделаида";"Аделаида"
"21677";"Аделанто";"Аделанто"
"22845";"Аден";"Аден"
"5916";"Адехе";"Адехе"
"13234";"Адждабия";"Адждабия"
"11975";"Adjlun,Ajloun,Аджлун";"Аджлун"
"10991";"Аджмер";"Аджмер"
"2690";"Адзопе";"Адзопе"
"18676";"Адилджеваз";"Адилджеваз"
"17299";"Adlersky City District,Адлер,Адлерский район";"Адлер"
"2636";"Адлисвиль";"Адлисвиль"
"11004";"Adoni,Адони";"Адони"
"11003";"Адра";"Адра"
"5915";"Адра";"Адра"
"11449";"Адрано";"Адрано"
"5431";"Адрар";"Адрар"
"20932";"Адриан";"Адриан"
"18675";"Адыяман";"Адыяман"
"6937";"Ажен";"Ажен"
"10871";"Азамгарх";"Азамгарх"
