"1421";"Абруццо";"Абруццо"
"1031";"Абхазия";"Абхазия"
"157";"Australian Capital Territory,Австралийская столичная территория";"Австралийская столичная территория"
"937";"Автономная область Арагон";"Автономная область Арагон"
"926";"Автономная область Балеарских Островов";"Автономная область Балеарских Островов"
"928";"Автономная область Канарских Островов,Канарские острова";"Автономная область Канарских Островов"
"936";"Автономная область Кантабрия";"Автономная область Кантабрия"
"924";"Region of Murcia,Автономная область региона Мурсия";"Автономная область региона Мурсия"
"2577";"Автономный регион в Мусульманском Минданао";"Автономный регион в Мусульманском Минданао"
"2375";"Agadez Region,Агадес";"Агадес"
"2325";"Агуаскальентес";"Агуаскальентес"
"3541";"Adana Province,Адана";"Адана"
"2184";"Adrar Region,Адрар";"Адрар"
"2602";"Азад Кашмир";"Азад Кашмир"
"3876";"Аига-и-ле-Таи";"Аига-и-ле-Таи"
"3715";"State of Idaho,Айдахо";"Айдахо"
"3535";"Aydın Province,Айдын";"Айдын"
"3463";"Aileu District,Айлеу";"Айлеу"
"3462";"Ainaro District,Айнару";"Айнару"
"2201";"Айнсилем";"Айнсилем"
"3695";"State of Iowa,Айова";"Айова"
"1504";"Akita Prefecture,Акита";"Акита"
"1653";"Akmolinskaya Oblast’,Акмолинская область";"Акмолинская область"
"3544";"Aksaray Province,Аксарай";"Аксарай"
"1651";"Aktyubinskaya Oblast’,Актюбинская Область,Актюбинская область";"Актюбинская Область"
"3693";"State of Alabama,Алабама";"Алабама"
"327";"Alibori Department,Алибори";"Алибори"
"1662";"Almatinskaya Oblast’,Алматинская Область";"Алматинская Область"
"2877";"Алтайский Край,Алтайский край";"Алтайский Край"
"461";"Альберта";"Альберта"
"3723";"State of Alaska,Аляска";"Аляска"
"384";"Амазонас";"Амазонас"
"2534";"Amazonas Region,Амасонас";"Амасонас"
"3573";"Amasya Province,Амасья";"Амасья"
"2883";"Амурская Oбласть,Амурская область";"Амурская Oбласть"
"1012";"Англия";"Англия"
"927";"Андалусия";"Андалусия"
"1341";"Andaman and Nicobar Islands,Андаманские и Никобарские острова";"Андаманские и Никобарские острова"
"3760";"Андижанская область";"Андижанская область"
"1340";"Андхра-Прадеш";"Андхра-Прадеш"
"2533";"Анкаш";"Анкаш"
"3536";"Antalya Province,Анталья";"Анталья"
"1506";"Aomori Prefecture,Аомори";"Аомори"
"1410";"Апулия";"Апулия"
"87";"Aragatsotn Province,Арагацотнская область";"Арагацотнская область"
"83";"Ararat Province,Араратская область";"Араратская область"
"3577";"Ardahan Province,Ардахан";"Ардахан"
"2548";"Арекипа";"Арекипа"
"3714";"State of Arizona,Аризона";"Аризона"
"3677";"State of Arkansas,Арканзас";"Арканзас"
"88";"Armavir Province,Армавирская область";"Армавирская область"
"3572";"Artvin Province,Артвин";"Артвин"
"1339";"Аруначал-Прадеш";"Аруначал-Прадеш"
"2860";"Arkhangelskaya oblast,Архангельская Область,Архангельская область";"Архангельская Область"
"2183";"Assaba Region,Ассаба";"Ассаба"
"1338";"State of Assam,Ассам";"Ассам"
"2859";"Астраханская Область,Астраханская область";"Астраханская Область"
"932";"Principality of Asturias,Астурия";"Астурия"
"3668";"Атолл Уэйк";"Атолл Уэйк"
"3875";"Атуа";"Атуа"
"1650";"Atyrauskaya Oblast’,Атырауская Область,Атырауская область";"Атырауская Область"
"3465";"Ahal Province,Ахалский велаят";"Ахалский велаят"
"3466";"Ашхабад";"Ашхабад"
"2118";"Aerodrom Municipality,Аэродром";"Аэродром"
"2547";"Аякучо";"Аякучо"
"749";"Free State of Bavaria,Бавария";"Бавария"
"750";"Baden-Württemberg Region,Баден-Вюртемберг";"Баден-Вюртемберг"
"1420";"Базиликата";"Базиликата"
"1663";"Байконыр,Город Байконыр";"Байконыр"
"3464";"Balkan Province,Балканский велаят";"Балканский велаят"
"41";"Балх";"Балх"
"3534";"Balıkesir Province,Балыкесир";"Балыкесир"
"2192";"Бальцан";"Бальцан"
"506";"Bamingui-Bangoran Prefecture,Баминги-Бангоран";"Баминги-Бангоран"
"1586";"Бантеаймеантьей";"Бантеаймеантьей"
"1267";"Бантен";"Бантен"
"56";"Барбуда";"Барбуда"
"3574";"Bartın Province,Бартын";"Бартын"
"1555";"Batkenskaya Oblast’,Баткенская Область";"Баткенская Область"
"3545";"Batman Province,Батман";"Батман"
"1564";"Battambang Province,Баттамбанг";"Баттамбанг"
"3460";"Baucau District,Баукау";"Баукау"
"1240";"Bács-Kiskun county,Бач-Кишкун";"Бач-Кишкун"
"2151";"Баян-хонгор";"Баян-хонгор"
"3670";"Бейкер";"Бейкер"
"2489";"Bay of Plenty Region,Бей-оф-Пленти";"Бей-оф-Пленти"
"2857";"Белгородская Область,Белгородская область";"Белгородская Область"
"111";"Benguela Province,Бенгела";"Бенгела"
"748";"Берлин";"Берлин"
"1745";"Berea District,Берья";"Берья"
"1952";"Basarabeasca District,Бессарабский район";"Бессарабский район"
"1977";"Биело-Поле";"Биело-Поле"
"3533";"Bilecik Province,Биледжик";"Биледжик"
"3532";"Bingöl Province,Бингёль";"Бингёль"
"3531";"Bitlis Province,Битлис";"Битлис"
"1337";"Бихар";"Бихар"
"1559";"Бишкек,Город Бишкек";"Бишкек"
"2979";"Blekinge County,Блекинге";"Блекинге"
"2045";"Bogdanci Municipality,Богданци";"Богданци"
"2060";"Боговинье";"Боговинье"
"3571";"Bolu Province,Болу";"Болу"
"1408";"Больцано";"Больцано"
"1226";"Borsod-Abauj Zemplen county,Боршод-Абауй-Земплен";"Боршод-Абауй-Земплен"
"2042";"Bosilovo Municipality,Босилово";"Босилово"
"2182";"Brakna Region,Бракна";"Бракна"
"747";"Бранденбург";"Бранденбург"
"2061";"Brvenica Municipality,Брвеница";"Брвеница"
"746";"Бремен";"Бремен"
"454";"Brest Oblast,Brestskaya Oblast’,Брестская Oбласть,Брестская Область";"Брестская Oбласть"
"992";"Brittany Region,Бретань";"Бретань"
"462";"Британская Колумбия";"Британская Колумбия"
"1951";"Briceni District,Бричанский район";"Бричанский район"
"2856";"Брянская Область,Брянская область";"Брянская Область"
"149";"Бургенланд";"Бургенланд"
"3530";"Burdur Province,Бурдур";"Бурдур"
"1744";"Butha-Buthe District,Бута-Буте";"Бута-Буте"
"3751";"Бухара,Бухарская область";"Бухара"
"1381";"Bushehr Province,Бушир";"Бушир"
"3867";"Ваисигано";"Ваисигано"
"3721";"State of Wyoming,Вайоминг";"Вайоминг"
"85";"Vayots Dzor Province,Вайоцдзорская область";"Вайоцдзорская область"
"500";"Vakaga Prefecture,Вакага";"Вакага"
"1462";"Wakayama Prefecture,Вакаяма";"Вакаяма"
"2037";"Valandovo Municipality,Валандово";"Валандово"
"878";"Valga County,Валгамаа";"Валгамаа"
"931";"Region of Valencia,Valencian Community,Валенсия,Область Валенсия";"Валенсия"
"3500";"Van Province,Ван";"Ван"
